Processor,Transistors,Year,Designer,Process,Area mm2,Trans./mm2
MOS Technology 6502,3510,1975,MOS Tech.,"8,000 nm",21,167
RCA 1802,5000,1974,RCA,"5,000 nm",27,185
Intel 4004,2300,1971,Intel,"10,000 nm",12,192
Intel 8080,4500,1974,Intel,"6,000 nm",20,225
Intel 8008,3500,1972,Intel,"10,000 nm",14,250
Motorola 6800,4100,1974,Motorola,"6,000 nm",16,256
Intel 8085,6500,1976,Intel,"3,000 nm",20,325
Motorola 6809,9000,1978,Motorola,"5,000 nm",21,429
Zilog Z80,8500,1976,Zilog,"4,000 nm",18,472
ARM 1,25000,1985,Acorn,"3,000 nm",50,500
TMS 1000,8000,1974,TI,"8,000 nm",11,727
Intel 8086,29000,1978,Intel,"3,000 nm",33,879
Intel 8088,29000,1979,Intel,"3,000 nm",33,879
Intel 80186,55000,1982,Intel,"3,000 nm",60,917
ARM 2,30000,1986,Acorn,"2,000 nm",30,1000
Motorola 68000,68000,1979,Motorola,"3,500 nm",44,1545
WDC 65C02,11500,1981,WDC,"3,000 nm",6,1917
Motorola 68020,190000,1984,Motorola,"2,000 nm",85,2235
WDC 65C816,22000,1983,WDC,3000 nm,9,2444
Intel 80386,275000,1985,Intel,"1,500 nm",104,2644
Motorola 68030,273000,1987,Motorola,800 nm,102,2676
Intel 80286,134000,1982,Intel,"1,500 nm",49,2735
DEC WRL MultiTitan,180000,1988,DEC WRL,"1,500 nm",61,2951
ARM 3,310000,1989,Acorn,"1,500 nm",87,3563
R4000,1350000,1991,MIPS,"1,000 nm",213,6338
Intel 80486,1180235,1989,Intel,1000 nm,173,6822
68040,1200000,1990,Motorola,650 nm,152,7895
ARM700,578977,1994,ARM,700 nm,69,8451
Pentium,3100000,1993,Intel,800 nm,294,10544
68060,2500000,1994,Motorola,600 nm,218,11468
AMD K5,4300000,1996,AMD,500 nm,251,17131
Pentium Pro,5500000,1995,Intel,500 nm,307,17915
ARM 9TDMI,111000,1999,Acorn,350 nm,5,23125
Pentium II Klamath,7500000,1997,Intel,350 nm,195,38462
SA-110,2500000,1995,Acrn/DEC/Apl,350 nm,50,50000
AMD K6,8800000,1997,AMD,350 nm,162,54321
Pentium II Deschutes,7500000,1998,Intel,250 nm,113,66372
Pentium III Katmai,9500000,1999,Intel,250 nm,128,74219
AMD K7,22000000,1999,AMD,250 nm,184,119565
Pentium II Mobile Dixon,27400000,1999,Intel,180 nm,180,152222
AMD K6-III,21300000,1999,AMD,250 nm,118,180508
Pentium 4 Willamette,42000000,2000,Intel,180 nm,217,193548
Pentium III Coppermine,21000000,2000,Intel,180 nm,80,262500
Pentium 4 Northwood,55000000,2002,Intel,130 nm,145,379310
Itanium 2 McKinley,220000000,2002,Intel,180 nm,421,522565
Barton,54300000,2003,AMD,130 nm,101,537624
AMD K8,105900000,2003,AMD,130 nm,193,548705
Pentium III Tualatin,45000000,2001,Intel,130 nm,81,555556
ARM Cortex-A9,26000000,2007,ARM,45 nm,31,838710
Pentium 4 Prescott,112000000,2004,Intel,90 nm,110,1018182
Cell,241000000,2006,Sny/IBM/Tosh.,90 nm,221,1090498
Itanium 2 Madison 6M,410000000,2003,Intel,130 nm,374,1096257
Pentium D Smithfield,228000000,2005,Intel,90 nm,206,1106796
Pentium 4 Prescott-2M,169000000,2005,Intel,90 nm,143,1181818
Itanium 2 with 9 MB,592000000,2004,Intel,130 nm,432,1370370
Core 2 Duo Allendale,169000000,2007,Intel,65 nm,111,1522523
AMD K10 quad-core 2M L3,463000000,2007,AMD,65 nm,283,1636042
